day_index,asof_or_hold,n_layers,gross_exposure,gross_return,two_way_turnover,cost,net_return,nav,drawdown
1,2026-08-11,1,1.0,-0.008339740311311364,0.9999999999999869,0.005999999999999921,-0.014339740311311286,0.9856602596886888,-0.014339740311311244
2,2026-08-12,1,1.0,-0.0024225675049110024,0.0,0.0,-0.0024225675049110024,0.9832724311726848,-0.016727568827315187
3,2026-08-13,1,1.0,-0.0027432211342025385,0.0,0.0,-0.0027432211342025385,0.9805750974588132,-0.019424902541186784
4,2026-08-14,1,1.0,-0.007987768055648489,0.0,0.0,-0.007987768055648489,0.9727424910191673,-0.02725750898083268
5,2026-08-17,1,1.0,0.002643494557712272,0.0,0.0,0.002643494557712272,0.975313930500232,-0.024686069499768037
6,2026-08-18,1,1.0,0.034566412469094,0.9822695675724388,0.005893617405434632,0.028672795063659363,1.0032789069521972,0.0
7,2026-08-19,1,1.0,0.005839828041921521,0.0,0.0,0.005839828041921521,1.0091378832468851,0.0
8,2026-08-20,1,1.0,-0.006887084276394799,0.0,0.0,-0.006887084276394799,1.002187865598461,-0.00688708427639495
9,2026-08-21,1,1.0,0.013229846269886845,0.0,0.0,0.013229846269886845,1.0154466569938747,0.0
10,2026-08-24,1,1.0,0.0009787988203658693,0.0,0.0,0.0009787988203658693,1.0164405749838847,0.0
11,2026-08-25,1,1.0,0.006499531834917187,0.9466732869910545,0.005680039721946327,0.0008194921129708599,1.0172735400183877,0.0
12,2026-08-26,1,1.0,-0.02744375608340931,0.0,0.0,-0.02744375608340931,0.9893557331160167,-0.02744375608340932
13,2026-08-27,1,1.0,0.01594890981596192,0.0,0.0,0.01594890981596192,1.005134878479389,-0.011932544258232869
14,2026-08-28,1,1.0,-0.00929460071198328,0.0,0.0,-0.00929460071198328,0.9957925511222352,-0.02111623673585783
15,2026-08-31,1,1.0,0.022622022396391755,0.0,0.0,0.022622022396391755,1.0183193925158824,0.0
16,2026-09-01,1,1.0,0.0036203661355383053,0.8078031170814678,0.004846818702488807,-0.0012264525669505016,1.0170704720829558,-0.001226452566950642
17,2026-09-02,1,1.0,-0.007154208439467898,0.0,0.0,-0.007154208439467898,1.0097941379280462,-0.008371886709113485
18,2026-09-03,1,1.0,0.02253220789795952,0.0,0.0,0.02253220789795952,1.0325470293779817,0.0
19,hold+1,1,1.0,-0.03124304354377111,0.0,0.0,-0.03124304354377111,1.0002871175781338,-0.031243043543771165
20,hold+2,1,1.0,0.007432088283557121,0.0,0.0,0.007432088283557121,1.0077213397448792,-0.02404315631807863
